UF;MUNICIPIO;TIPO DE VEÍCULO;QUANTIDADE
AC;ACRELANDIA;AUTOMOVEL;1453
AC;ACRELANDIA;BONDE;0
AC;ACRELANDIA;CAMINHAO;502
AC;ACRELANDIA;CAMINHAO TRATOR;43
AC;ACRELANDIA;CAMINHONETE;722
AC;ACRELANDIA;CAMIONETA;57
AC;ACRELANDIA;CHASSI PLATAF;0
AC;ACRELANDIA;CICLOMOTOR;2
AC;ACRELANDIA;MICRO-ONIBUS;10
AC;ACRELANDIA;MOTOCICLETA;3361
AC;ACRELANDIA;MOTONETA;400
AC;ACRELANDIA;ONIBUS;43
AC;ACRELANDIA;QUADRICICLO;0
AC;ACRELANDIA;REBOQUE;93
AC;ACRELANDIA;SEMI-REBOQUE;74
AC;ACRELANDIA;SIDE-CAR;0
AC;ACRELANDIA;OUTROS;2
AC;ACRELANDIA;TRATOR ESTEI;0
AC;ACRELANDIA;TRATOR RODAS;0
AC;ACRELANDIA;TRICICLO;1
AC;ACRELANDIA;UTILITARIO;12
AC;ASSIS BRASIL;AUTOMOVEL;348
AC;ASSIS BRASIL;BONDE;0
AC;ASSIS BRASIL;CAMINHAO;25
AC;ASSIS BRASIL;CAMINHAO TRATOR;0
AC;ASSIS BRASIL;CAMINHONETE;154
AC;ASSIS BRASIL;CAMIONETA;19
AC;ASSIS BRASIL;CHASSI PLATAF;0
AC;ASSIS BRASIL;CICLOMOTOR;2
AC;ASSIS BRASIL;MICRO-ONIBUS;2
AC;ASSIS BRASIL;MOTOCICLETA;1208
AC;ASSIS BRASIL;MOTONETA;132
AC;ASSIS BRASIL;ONIBUS;4
AC;ASSIS BRASIL;QUADRICICLO;0
AC;ASSIS BRASIL;REBOQUE;18
AC;ASSIS BRASIL;SEMI-REBOQUE;0
AC;ASSIS BRASIL;SIDE-CAR;0
AC;ASSIS BRASIL;OUTROS;0
AC;ASSIS BRASIL;TRATOR ESTEI;0
AC;ASSIS BRASIL;TRATOR RODAS;0
AC;ASSIS BRASIL;TRICICLO;0
AC;ASSIS BRASIL;UTILITARIO;2
AC;BRASILEIA;AUTOMOVEL;2416
AC;BRASILEIA;BONDE;0
AC;BRASILEIA;CAMINHAO;295
AC;BRASILEIA;CAMINHAO TRATOR;159
AC;BRASILEIA;CAMINHONETE;1252
AC;BRASILEIA;CAMIONETA;85
AC;BRASILEIA;CHASSI PLATAF;0
AC;BRASILEIA;CICLOMOTOR;4
AC;BRASILEIA;MICRO-ONIBUS;8
AC;BRASILEIA;MOTOCICLETA;4596
AC;BRASILEIA;MOTONETA;987
AC;BRASILEIA;ONIBUS;20
AC;BRASILEIA;QUADRICICLO;0
AC;BRASILEIA;REBOQUE;120
AC;BRASILEIA;SEMI-REBOQUE;230
AC;BRASILEIA;SIDE-CAR;0
AC;BRASILEIA;OUTROS;0
AC;BRASILEIA;TRATOR ESTEI;0
AC;BRASILEIA;TRATOR RODAS;0
AC;BRASILEIA;TRICICLO;2
AC;BRASILEIA;UTILITARIO;33
AC;BUJARI;AUTOMOVEL;662
AC;BUJARI;BONDE;0
AC;BUJARI;CAMINHAO;131
AC;BUJARI;CAMINHAO TRATOR;33
AC;BUJARI;CAMINHONETE;281
AC;BUJARI;CAMIONETA;16
AC;BUJARI;CHASSI PLATAF;0
AC;BUJARI;CICLOMOTOR;7
AC;BUJARI;MICRO-ONIBUS;6
AC;BUJARI;MOTOCICLETA;985
AC;BUJARI;MOTONETA;55
AC;BUJARI;ONIBUS;14
AC;BUJARI;QUADRICICLO;0
AC;BUJARI;REBOQUE;27
AC;BUJARI;SEMI-REBOQUE;42
AC;BUJARI;SIDE-CAR;0
AC;BUJARI;OUTROS;0
AC;BUJARI;TRATOR ESTEI;0
AC;BUJARI;TRATOR RODAS;0
AC;BUJARI;TRICICLO;1
AC;BUJARI;UTILITARIO;1
AC;CAPIXABA;AUTOMOVEL;641
AC;CAPIXABA;BONDE;0
AC;CAPIXABA;CAMINHAO;88
AC;CAPIXABA;CAMINHAO TRATOR;3
AC;CAPIXABA;CAMINHONETE;246
AC;CAPIXABA;CAMIONETA;29
AC;CAPIXABA;CHASSI PLATAF;0
AC;CAPIXABA;CICLOMOTOR;5
AC;CAPIXABA;MICRO-ONIBUS;3
AC;CAPIXABA;MOTOCICLETA;1099
AC;CAPIXABA;MOTONETA;128
AC;CAPIXABA;ONIBUS;17
AC;CAPIXABA;QUADRICICLO;0
AC;CAPIXABA;REBOQUE;27
AC;CAPIXABA;SEMI-REBOQUE;4
AC;CAPIXABA;SIDE-CAR;0
AC;CAPIXABA;OUTROS;0
AC;CAPIXABA;TRATOR ESTEI;0
AC;CAPIXABA;TRATOR RODAS;0
AC;CAPIXABA;TRICICLO;0
AC;CAPIXABA;UTILITARIO;2
AC;CRUZEIRO DO SUL;AUTOMOVEL;7203
AC;CRUZEIRO DO SUL;BONDE;0
AC;CRUZEIRO DO SUL;CAMINHAO;730
AC;CRUZEIRO DO SUL;CAMINHAO TRATOR;91
AC;CRUZEIRO DO SUL;CAMINHONETE;2935
AC;CRUZEIRO DO SUL;CAMIONETA;328
AC;CRUZEIRO DO SUL;CHASSI PLATAF;1
AC;CRUZEIRO DO SUL;CICLOMOTOR;32
AC;CRUZEIRO DO SUL;MICRO-ONIBUS;59
AC;CRUZEIRO DO SUL;MOTOCICLETA;15965
AC;CRUZEIRO DO SUL;MOTONETA;6871
AC;CRUZEIRO DO SUL;ONIBUS;84
AC;CRUZEIRO DO SUL;QUADRICICLO;0
AC;CRUZEIRO DO SUL;REBOQUE;48
AC;CRUZEIRO DO SUL;SEMI-REBOQUE;188
AC;CRUZEIRO DO SUL;SIDE-CAR;0
AC;CRUZEIRO DO SUL;OUTROS;1
AC;CRUZEIRO DO SUL;TRATOR ESTEI;0
AC;CRUZEIRO DO SUL;TRATOR RODAS;0
AC;CRUZEIRO DO SUL;TRICICLO;10
AC;CRUZEIRO DO SUL;UTILITARIO;123
AC;EPITACIOLANDIA;AUTOMOVEL;1856
AC;EPITACIOLANDIA;BONDE;0
AC;EPITACIOLANDIA;CAMINHAO;252
AC;EPITACIOLANDIA;CAMINHAO TRATOR;114
AC;EPITACIOLANDIA;CAMINHONETE;866
AC;EPITACIOLANDIA;CAMIONETA;86
AC;EPITACIOLANDIA;CHASSI PLATAF;0
AC;EPITACIOLANDIA;CICLOMOTOR;4
AC;EPITACIOLANDIA;MICRO-ONIBUS;8
