Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;A-Condutor Moto;126
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AB-Condutor Moto/Carro;8.767
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AC-Condutor Moto/Caminhão;9
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AD-Condutor Moto/Ônibus;8
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AE-Condutor Moto/Carreta;1
Centro-Oeste;Distrito Federal;Masculino;18 a 21;B-Condutor Carro;14.809
Centro-Oeste;Distrito Federal;Masculino;18 a 21;C-Condutor Caminhão;7
Centro-Oeste;Distrito Federal;Masculino;18 a 21;D-Condutor Ônibus;3
Centro-Oeste;Distrito Federal;Masculino;22 a 25;A-Condutor Moto;591
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AB-Condutor Moto/Carro;24.599
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AC-Condutor Moto/Caminhão;25
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AD-Condutor Moto/Ônibus;1.113
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AE-Condutor Moto/Carreta;60
Centro-Oeste;Distrito Federal;Masculino;22 a 25;B-Condutor Carro;36.563
Centro-Oeste;Distrito Federal;Masculino;22 a 25;C-Condutor Caminhão;13
Centro-Oeste;Distrito Federal;Masculino;22 a 25;D-Condutor Ônibus;390
Centro-Oeste;Distrito Federal;Masculino;22 a 25;E-Condutor Carreta;21
Centro-Oeste;Distrito Federal;Masculino;26 a 30;A-Condutor Moto;1.157
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AB-Condutor Moto/Carro;40.479
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AC-Condutor Moto/Caminhão;38
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AD-Condutor Moto/Ônibus;4.935
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AE-Condutor Moto/Carreta;603
Centro-Oeste;Distrito Federal;Masculino;26 a 30;B-Condutor Carro;50.883
Centro-Oeste;Distrito Federal;Masculino;26 a 30;C-Condutor Caminhão;14
Centro-Oeste;Distrito Federal;Masculino;26 a 30;D-Condutor Ônibus;2.010
Centro-Oeste;Distrito Federal;Masculino;26 a 30;E-Condutor Carreta;125
Centro-Oeste;Distrito Federal;Masculino;31 a 40;A-Condutor Moto;2.609
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AB-Condutor Moto/Carro;89.095
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AC-Condutor Moto/Caminhão;172
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AD-Condutor Moto/Ônibus;22.985
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AE-Condutor Moto/Carreta;3.966
Centro-Oeste;Distrito Federal;Masculino;31 a 40;B-Condutor Carro;118.137
Centro-Oeste;Distrito Federal;Masculino;31 a 40;C-Condutor Caminhão;115
Centro-Oeste;Distrito Federal;Masculino;31 a 40;D-Condutor Ônibus;11.123
Centro-Oeste;Distrito Federal;Masculino;31 a 40;E-Condutor Carreta;1.231
Centro-Oeste;Distrito Federal;Masculino;31 a 40;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;41 a 50;A-Condutor Moto;1.519
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AB-Condutor Moto/Carro;53.357
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AC-Condutor Moto/Caminhão;1.512
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AD-Condutor Moto/Ônibus;24.411
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AE-Condutor Moto/Carreta;4.970
Centro-Oeste;Distrito Federal;Masculino;41 a 50;B-Condutor Carro;107.685
Centro-Oeste;Distrito Federal;Masculino;41 a 50;C-Condutor Caminhão;1.355
Centro-Oeste;Distrito Federal;Masculino;41 a 50;D-Condutor Ônibus;22.103
Centro-Oeste;Distrito Federal;Masculino;41 a 50;E-Condutor Carreta;3.195
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XC-Condutor Ciclomotor/Caminhão;2
Centro-Oeste;Distrito Federal;Masculino;51 a 60;A-Condutor Moto;603
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AB-Condutor Moto/Carro;28.002
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AC-Condutor Moto/Caminhão;2.428
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AD-Condutor Moto/Ônibus;14.878
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AE-Condutor Moto/Carreta;2.524
Centro-Oeste;Distrito Federal;Masculino;51 a 60;B-Condutor Carro;76.705
Centro-Oeste;Distrito Federal;Masculino;51 a 60;C-Condutor Caminhão;2.400
Centro-Oeste;Distrito Federal;Masculino;51 a 60;D-Condutor Ônibus;20.182
