UF;Cod_Infração;Quantidade
ACRE;5010;1
ACRE;5169;1
ACRE;5185;10
ACRE;5452;1
ACRE;5479;1
ACRE;5550;3
ACRE;5568;1
ACRE;5673;1
ACRE;5681;1
ACRE;5720;1
ACRE;5746;1
ACRE;5819;1
ACRE;5835;2
ACRE;5843;1
ACRE;6050;4
ACRE;6700;2
ACRE;7048;1
ACRE;7340;1
ACRE;7455;12
ALAGOAS;5010;1
ALAGOAS;5045;1
ALAGOAS;5053;1
ALAGOAS;5070;1
ALAGOAS;5185;11
ALAGOAS;5193;1
ALAGOAS;5231;1
ALAGOAS;5282;1
ALAGOAS;5428;1
ALAGOAS;5444;1
ALAGOAS;5452;2
ALAGOAS;5479;3
ALAGOAS;5487;2
ALAGOAS;5541;8
ALAGOAS;5550;7
ALAGOAS;5673;3
ALAGOAS;5738;1
ALAGOAS;5746;5
ALAGOAS;5819;1
ALAGOAS;5835;2
ALAGOAS;5908;1
ALAGOAS;6033;1
ALAGOAS;6041;2
ALAGOAS;6050;12
ALAGOAS;6068;33
ALAGOAS;6610;3
ALAGOAS;6637;4
ALAGOAS;6645;4
ALAGOAS;6700;3
ALAGOAS;6726;5
ALAGOAS;6769;1
ALAGOAS;6823;1
ALAGOAS;6831;4
ALAGOAS;6858;2
ALAGOAS;6866;1
ALAGOAS;6912;2
ALAGOAS;6980;5
ALAGOAS;7030;1
ALAGOAS;7048;1
ALAGOAS;7218;1
ALAGOAS;7234;1
ALAGOAS;7242;5
ALAGOAS;7340;2
ALAGOAS;7366;2
ALAGOAS;7455;91
ALAGOAS;7463;37
ALAGOAS;7471;2
ALAGOAS;7579;2
ALAGOAS;7633;4
AMAPA;5010;1
AMAPA;5045;2
AMAPA;5118;1
AMAPA;5169;1
AMAPA;5185;600
AMAPA;5193;9
AMAPA;5207;5
AMAPA;5215;4
AMAPA;5231;1
AMAPA;5274;1
AMAPA;5347;1
AMAPA;5380;4
AMAPA;5401;1
AMAPA;5410;4
AMAPA;5428;2
AMAPA;5452;45
AMAPA;5460;1
AMAPA;5479;5
AMAPA;5487;26
AMAPA;5525;13
AMAPA;5541;106
AMAPA;5550;7
AMAPA;5568;15
AMAPA;5592;6
AMAPA;5606;5
AMAPA;5622;13
AMAPA;5657;1
AMAPA;5665;5
AMAPA;5673;10
AMAPA;5720;9
AMAPA;5738;153
AMAPA;5746;85
AMAPA;5789;1
AMAPA;5800;1
AMAPA;5819;45
AMAPA;5835;519
AMAPA;5843;2
AMAPA;5878;1
AMAPA;5908;1
AMAPA;6017;4
AMAPA;6025;1
AMAPA;6041;72
AMAPA;6050;198
AMAPA;6068;13
AMAPA;6076;1
AMAPA;6084;1
AMAPA;6122;170
AMAPA;6130;13
AMAPA;6157;4
AMAPA;6319;1
AMAPA;6564;4
